location,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed
Albania,187994,631,522,65436.24,219.636,181.696,1.07,1831,104.871,38,13.188,11803.431,304.195,10.08,78.57,0.795,5.571
Argentina,5295260,1271,1116.143,116109.296,27.869,24.474,1.03,4735,16.177,31.9,11.198,18933.907,191.032,5.5,76.67,0.845,21.143
Armenia,316839,1835,1756.143,106747.081,618.235,591.667,0.97,3261,102.931,35.7,11.232,8787.58,341.01,7.11,75.09,0.776,50
Australia,178927,1534,1364,6938.324,59.485,52.892,0.87,6660,3.202,37.9,15.504,44648.71,107.791,5.07,83.44,0.944,11.857
Austria,865390,9388,6599.286,95696.462,1038.143,729.761,1.49,3410,106.749,44.4,19.202,45436.686,145.183,6.35,81.54,0.922,16.857
Azerbaijan,542150,2440,2175.714,53030.594,238.669,212.818,1.07,3424,119.309,32.4,6.018,15847.419,559.812,7.11,73,0.756,26.714
Belarus,610022,1991,1975.857,64601.355,210.847,209.243,0.99,4867,46.858,40.3,14.799,17167.967,443.129,5.18,74.79,0.823,16.571
Belgium,1403548,0,6128.286,120659.19,0,526.832,1.61,561,375.564,41.8,18.571,42658.576,114.898,4.29,81.63,0.931,15.857
Bolivia,517229,1856,681.286,43710.961,156.85,57.575,1.19,1886,10.202,25.4,6.704,6885.829,204.299,6.89,71.51,0.718,6.429
Cambodia,118948,78,89.571,7019.053,4.603,5.286,0.69,4039,90.672,25.6,4.412,3645.07,270.892,4,69.82,0.594,6.429
Cameroon,104348,0,264.143,3832.905,0,9.702,0.83,22,50.885,18.8,3.165,3364.926,244.661,7.2,59.29,0.563,6.429
Canada,1735964,2524,2232,45601.764,66.303,58.632,0.98,1660,4.037,41.4,16.984,44017.591,105.599,7.37,82.43,0.929,25.714
Chile,1703826,2510,1870.143,88683.838,130.645,97.341,1.16,8567,24.282,35.4,11.087,22767.037,127.993,8.46,80.18,0.851,12.143
Colombia,5010982,1975,1704.857,97745.046,38.525,33.255,1.15,4608,44.223,32.2,7.646,13254.949,124.24,7.44,77.29,0.767,33
Congo,17944,0,88.714,3171.99,0,15.682,0.93,1242,15.405,19,3.402,4881.406,344.094,7.2,64.57,0.574,5.571
Costa Rica,562316,487,374,109420.16,94.765,72.776,0.69,5333,96.079,33.6,9.468,15524.995,137.973,8.78,80.28,0.81,15
