location,date,total_cases,new_cases_smoothed,total_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,positive_rate,tests_per_case,new_deaths_smoothed
Argentina,6/10/2021,5263219,1136.857,115406.732,24.928,0.75,0.019,52.6,35.571
Argentina,7/10/2021,5264305,1057.571,115430.545,23.189,0.76,0.018,55.6,33.857
Argentina,8/10/2021,5265058,941.714,115447.056,20.649,0.77,0.018,55.6,31.286
Argentina,9/10/2021,5265528,882.286,115457.362,19.346,0.79,0.018,55.6,31.286
Argentina,10/10/2021,5265859,874.429,115464.62,19.174,0.81,0.018,55.6,32.571
Argentina,11/10/2021,5266275,793.714,115473.741,17.404,0.84,0.018,55.6,29.714
Argentina,12/10/2021,5267339,772,115497.072,16.928,0.88,0.019,52.6,32
Argentina,13/10/2021,5268653,776.286,115525.884,17.022,0.92,0.019,52.6,29
Argentina,14/10/2021,5270003,814,115555.485,17.849,0.95,0.02,50,31
Argentina,15/10/2021,5271361,900.429,115585.262,19.744,0.97,0.021,47.6,30.857
Argentina,16/10/2021,5272151,946.143,115602.584,20.746,0.98,0.021,47.6,29.286
Argentina,17/10/2021,5272551,956,115611.355,20.962,0.99,0.021,47.6,27.571
Argentina,18/10/2021,5273463,1026.857,115631.353,22.516,1.01,0.021,47.6,30.429
Argentina,19/10/2021,5274766,1061,115659.924,23.265,1.02,0.021,47.6,27.143
Argentina,20/10/2021,5275984,1047.286,115686.631,22.964,1.04,0.022,45.5,26.857
Argentina,21/10/2021,5277525,1074.571,115720.42,23.562,1.05,0.022,45.5,23.286
Argentina,22/10/2021,5278910,1078.429,115750.789,23.647,1.06,0.023,43.5,22.714
Argentina,23/10/2021,5279818,1095.286,115770.699,24.016,1.06,0.023,43.5,22.857
Argentina,24/10/2021,5280358,1115.286,115782.539,24.455,1.06,0.024,41.7,22.857
Argentina,25/10/2021,5281585,1160.286,115809.444,25.442,1.06,0.025,40,21
Argentina,26/10/2021,5283000,1176.286,115840.471,25.792,1.06,0.026,38.5,18.429
Argentina,27/10/2021,5284485,1214.429,115873.032,26.629,1.06,0.027,37,17
Argentina,28/10/2021,5286074,1221.286,115907.874,26.779,1.05,0.027,37,17.143
Argentina,29/10/2021,5287447,1219.571,115937.98,26.742,1.04,0.028,35.7,16.571
Argentina,30/10/2021,5288259,1205.857,115955.785,26.441,1.03,0.028,35.7,17
Argentina,31/10/2021,5288807,1207,115967.801,26.466,1.03,0.029,34.5,17.714
Argentina,1/11/2021,5289945,1194.286,115992.754,26.187,1.03,0.029,34.5,19.714
Argentina,2/11/2021,5291285,1183.571,116022.136,25.952,1.02,0.029,34.5,20.571
Argentina,3/11/2021,5292549,1152,116049.852,25.26,1.02,0.029,34.5,20
Argentina,4/11/2021,5293989,1130.714,116081.427,24.793,1.02,0.029,34.5,19.857
Armenia,6/10/2021,267363,955.429,90077.989,321.896,1.2,0.102,9.8,20.143
Armenia,7/10/2021,268672,996.429,90519.007,335.709,1.19,0.104,9.7,21
Armenia,8/10/2021,269874,1034.714,90923.976,348.608,1.19,0.111,9,22.857
Armenia,9/10/2021,271205,1060.286,91372.407,357.224,1.19,0.12,8.3,25
Armenia,10/10/2021,272356,1095.143,91760.194,368.968,1.19,0.133,7.5,25.286
Armenia,11/10/2021,272957,1091.429,91962.678,367.716,1.2,0.136,7.3,25.429
Armenia,12/10/2021,273860,1093.143,92266.91,368.294,1.21,0.135,7.4,28.429
Armenia,13/10/2021,275077,1102,92676.933,371.278,1.23,0.137,7.3,29.429
Armenia,14/10/2021,276666,1142,93212.287,384.754,1.25,0.134,7.5,29.857
Armenia,15/10/2021,278431,1222.429,93806.938,411.852,1.27,0.129,7.7,30.571
Armenia,16/10/2021,280294,1298.429,94434.607,437.457,1.29,0.118,8.5,32.143
Armenia,17/10/2021,281991,1376.429,95006.347,463.736,1.29,0.119,8.4,32.714
Armenia,18/10/2021,283183,1460.857,95407.947,492.181,1.28,0.119,8.4,32.857
Armenia,19/10/2021,284237,1482.429,95763.053,499.449,1.27,0.113,8.8,32
Armenia,20/10/2021,286303,1603.714,96459.115,540.312,1.27,0.114,8.7,32
Armenia,21/10/2021,288906,1748.571,97336.099,589.116,1.27,0.122,8.2,32.429
Armenia,22/10/2021,291052,1803,98059.113,607.454,1.24,0.122,8.2,33
Armenia,23/10/2021,293014,1817.143,98720.136,612.218,1.21,0.126,7.9,31.571
Armenia,24/10/2021,295368,1911,99513.229,643.84,1.2,0.126,8,33.571
Armenia,25/10/2021,296552,1909.857,99912.133,643.455,1.17,0.122,8.2,35.714
Armenia,26/10/2021,298069,1976,100423.23,665.739,1.14,0.127,7.9,38.571
Armenia,27/10/2021,300143,1977.143,101121.987,666.125,1.11,0.129,7.7,40.143
Armenia,28/10/2021,302450,1934.857,101899.244,651.878,1.08,0.125,8,41
Armenia,29/10/2021,304546,1927.714,102605.413,649.471,1.06,0.126,8,41.143
Armenia,30/10/2021,306739,1960.714,103344.263,660.59,1.04,0.131,7.7,44.143
Armenia,31/10/2021,308326,1851.143,103878.943,623.674,1.02,0.124,8.1,45
Armenia,1/11/2021,309397,1835,104239.777,618.235,1.02,0.124,8.1,46.286
Armenia,2/11/2021,310629,1794.286,104654.853,604.518,1.01,0.124,8,47
Armenia,3/11/2021,312674,1790.143,105343.84,603.122,1,0.124,8.1,48.571
Armenia,4/11/2021,315004,1793.429,106128.846,604.229,0.98,0.128,7.8,49
Australia,6/10/2021,120042,2131.286,4654.917,82.646,1.1,0.011,89.9,14
Australia,7/10/2021,122566,2197.857,4752.791,85.227,1.09,0.011,87.5,13.429
Australia,8/10/2021,125081,2223.571,4850.316,86.224,1.09,0.012,86.4,14.286
Australia,9/10/2021,127471,2297.571,4942.994,89.094,1.08,0.012,83.5,14
Australia,10/10/2021,129567,2308,5024.271,89.498,1.06,0.012,83,14.571
Australia,11/10/2021,131415,2230.714,5095.932,86.501,1.05,0.012,85.5,14.857
Australia,12/10/2021,133444,2231.143,5174.611,86.518,1.05,0.012,85.9,14.143
Australia,13/10/2021,136188,2306.571,5281.017,89.443,1.04,0.012,84.2,15.286
Australia,14/10/2021,138720,2307.714,5379.201,89.487,1.03,0.012,82.9,14.571
Australia,15/10/2021,141031,2278.571,5468.815,88.357,1.02,0.012,82.5,13.429
Australia,16/10/2021,143204,2247.571,5553.079,87.155,1.01,0.012,82.1,14.286
Australia,17/10/2021,145263,2242.286,5632.921,86.95,1,0.012,80.8,13.571
Australia,18/10/2021,147301,2269.429,5711.95,88.003,0.99,0.013,78.6,13.857
Australia,19/10/2021,149398,2279.143,5793.266,88.379,0.99,0.013,78.3,14.143
