location,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed,"total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed"
Afghanistan,156392,29,28,3925.953,0.728,0.703,0.75,920,54.422,18.6,2.581,1803.987,597.029,9.59,64.83,0.511,2.143,"total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed"
Albania,187994,631,522,65436.24,219.636,181.696,1.07,1831,104.871,38,13.188,11803.431,304.195,10.08,78.57,0.795,5.571,
Algeria,206995,117,103.571,4639.414,2.622,2.321,1.08,399,17.348,29.1,6.211,13913.839,278.364,6.73,76.88,0.748,3.714,
Angola,64612,29,44.429,1904.071,0.855,1.309,0.61,2677,23.89,16.8,2.405,5819.495,276.045,3.94,61.15,0.581,1.714,
Antigua and Barbuda,4078,6,5.429,41305.405,60.773,54.985,0.67,2654,231.845,32.1,6.933,21490.943,191.511,13.17,77.02,0.778,0.286,
Argentina,5295260,1271,1116.143,116109.296,27.869,24.474,1.03,4735,16.177,31.9,11.198,18933.907,191.032,5.5,76.67,0.845,21.143,
Armenia,316839,1835,1756.143,106747.081,618.235,591.667,0.97,3261,102.931,35.7,11.232,8787.58,341.01,7.11,75.09,0.776,50,
Australia,178927,1534,1364,6938.324,59.485,52.892,0.87,6660,3.202,37.9,15.504,44648.71,107.791,5.07,83.44,0.944,11.857,
Austria,865390,9388,6599.286,95696.462,1038.143,729.761,1.49,3410,106.749,44.4,19.202,45436.686,145.183,6.35,81.54,0.922,16.857,
Azerbaijan,542150,2440,2175.714,53030.594,238.669,212.818,1.07,3424,119.309,32.4,6.018,15847.419,559.812,7.11,73,0.756,26.714,
Bahamas,22485,0,19.143,56649.551,0,48.229,0.78,3134,39.497,34.3,8.996,27717.847,235.954,13.17,73.92,0.814,2,
Bahrain,277011,28,37.429,158446.372,16.016,21.409,0.75,2423,1935.907,32.4,2.372,43290.705,151.689,16.52,77.29,0.852,0,
Bangladesh,1570485,0,189,9443.488,0,1.136,0.78,5406,1265.036,27.5,5.098,3523.984,298.003,8.38,72.59,0.632,4.714,
Barbados,19516,328,337.857,67832.664,1140.045,1174.306,1.1,2565,664.463,39.8,14.952,16978.068,170.05,13.57,79.19,0.814,2.714,
Belarus,610022,1991,1975.857,64601.355,210.847,209.243,0.99,4867,46.858,40.3,14.799,17167.967,443.129,5.18,74.79,0.823,16.571,
Belgium,1403548,0,6128.286,120659.19,0,526.832,1.61,561,375.564,41.8,18.571,42658.576,114.898,4.29,81.63,0.931,15.857,
Belize,27894,221,156.571,68888.532,545.794,386.677,1.08,2610,16.426,25,3.853,7824.362,176.957,17.11,74.62,0.716,2.571,
Bolivia,517229,1856,681.286,43710.961,156.85,57.575,1.19,1886,10.202,25.4,6.704,6885.829,204.299,6.89,71.51,0.718,6.429,
Botswana,192935,5654,905.857,80482.138,2358.546,377.875,0.74,5317,4.044,25.8,3.941,15807.374,237.372,4.81,69.59,0.735,0.143,
Brazil,21862458,13321,9865.286,102164.15,62.25,46.101,0.95,2411,25.04,33.5,8.552,14103.452,177.961,8.11,75.88,0.765,228.286,
Brunei,13545,0,84.286,30677.278,0,190.894,0.84,9134,81.347,32.4,4.591,71809.251,201.285,12.79,75.86,0.838,0.714,
Burundi,20136,30,13.857,1643.027,2.448,1.131,0.64,3,423.062,17.5,2.562,702.225,293.068,6.05,61.58,0.433,0,
Cambodia,118948,78,89.571,7019.053,4.603,5.286,0.69,4039,90.672,25.6,4.412,3645.07,270.892,4,69.82,0.594,6.429,
Cameroon,104348,0,264.143,3832.905,0,9.702,0.83,22,50.885,18.8,3.165,3364.926,244.661,7.2,59.29,0.563,6.429,
Canada,1735964,2524,2232,45601.764,66.303,58.632,0.98,1660,4.037,41.4,16.984,44017.591,105.599,7.37,82.43,0.929,25.714,
Cape Verde,38242,9,6.429,68058.252,16.017,11.441,0.72,3159,135.58,25.7,4.46,6222.554,182.219,2.42,72.98,0.665,0,
Central African Republic,11579,0,8.714,2353.462,0,1.771,0.31,294,7.479,18.3,3.655,661.24,435.727,6.1,53.28,0.397,0,
Chad,5107,0,5.429,301.922,0,0.321,0.27,46,11.833,16.7,2.486,1768.153,280.995,6.1,54.24,0.398,0.143,
Chile,1703826,2510,1870.143,88683.838,130.645,97.341,1.16,8567,24.282,35.4,11.087,22767.037,127.993,8.46,80.18,0.851,12.143,
China,97742,60,83.571,67.678,0.042,0.058,1.18,4886,147.674,38.7,10.641,15308.712,261.899,9.74,76.91,0.761,0,
Colombia,5010982,1975,1704.857,97745.046,38.525,33.255,1.15,4608,44.223,32.2,7.646,13254.949,124.24,7.44,77.29,0.767,33,
Comoros,4300,9,8.714,4839.857,10.13,9.808,0.96,3096,437.352,20.4,2.963,1413.89,261.516,11.88,64.32,0.554,0,
Congo,17944,0,88.714,3171.99,0,15.682,0.93,1242,15.405,19,3.402,4881.406,344.094,7.2,64.57,0.574,5.571,
Costa Rica,562316,487,374,109420.16,94.765,72.776,0.69,5333,96.079,33.6,9.468,15524.995,137.973,8.78,80.28,0.81,15,
Cote d'Ivoire,61387,17,16.571,2269.086,0.628,0.613,0.79,1245,76.399,18.7,2.933,3601.006,303.74,2.42,57.78,0.538,0.857,
Croatia,490074,6932,3941.714,120067.414,1698.33,965.714,1.43,2289,73.726,44,19.724,22669.797,253.782,5.59,78.49,0.851,33.143,
Cyprus,125413,252,199.429,139969.085,281.248,222.575,1.27,1581,127.657,37.3,13.416,32415.132,141.171,9.24,80.98,0.887,0.571,
Czechia,1801154,8447,7009.714,167946.767,787.632,653.614,1.47,3475,137.176,43.3,19.027,32605.906,227.485,6.82,79.38,0.9,33.286,
Democratic Republic of Congo,57605,18,19.286,623.579,0.195,0.209,0.82,6,35.879,17,3.02,808.133,318.949,6.1,60.68,0.48,1,
Denmark,401445,2318,2007.857,69056.278,398.741,345.39,1.34,416,136.52,42.3,19.677,46682.515,114.767,6.41,80.9,0.94,2.714,
Djibouti,13491,2,1.857,13461.425,1.996,1.853,0.29,499,41.285,25.4,4.213,2705.406,258.037,6.05,67.11,0.524,0.286,
Dominican Republic,386285,1104,867.143,35265.208,100.788,79.164,1.12,1959,222.873,27.6,6.981,14600.861,266.653,8.2,74.08,0.756,3.143,
Ecuador,518274,0,345,28972.51,0,19.286,0.67,1262,66.939,28.1,7.104,10581.936,140.448,5.55,77.01,0.759,3.571,
Egypt,335673,922,933.857,3219.628,8.843,8.957,1.01,3315,97.999,25.3,5.159,10550.206,525.432,17.31,71.99,0.707,59.143,
El Salvador,113422,0,0,17400.015,0,0,0.33,3463,307.811,27.6,8.273,7292.458,167.295,8.87,73.32,0.673,8.143,
Equatorial Guinea,13407,0,14.714,9246.902,0,10.149,0.87,432,45.194,22.4,2.846,22604.873,202.812,7.78,58.74,0.592,0.286,
Estonia,202629,1435,1775.429,152905.852,1082.865,1339.756,0.97,1766,31.033,42.7,19.452,29481.252,255.569,4.02,78.74,0.892,11.286,
Eswatini,46455,1,7.429,39624.896,0.853,6.336,0.63,1118,79.492,21.5,3.163,7738.975,333.436,3.94,60.19,0.611,0.143,
Ethiopia,366783,359,315.286,3111.594,3.046,2.675,0.73,419,104.957,19.8,3.526,1729.927,182.634,7.47,66.6,0.485,11.429,
Fiji,52247,38,15.143,57865.83,42.087,16.771,0.92,2264,49.562,28.6,6.224,8702.975,412.82,14.49,67.44,0.743,0,
Finland,162476,788,706.429,29283.603,142.024,127.322,1.2,2058,18.136,42.8,21.228,40585.721,153.507,5.76,81.91,0.938,4.286,
France,7301303,9083,6646.286,108064.589,134.435,98.37,1.24,1813,122.578,42,19.718,38605.671,86.06,4.77,82.66,0.901,34.286,
Gabon,36020,0,70.714,15806.364,0,31.031,1.07,759,7.859,23.1,4.45,16562.413,259.967,7.2,66.47,0.703,1.429,
Gambia,9973,0,1.143,4010.154,0,0.46,0.63,242,207.566,17.5,2.339,1561.767,331.43,1.91,62.05,0.496,0.143,
Georgia,743511,5340,4608,186822.464,1341.785,1157.855,1.13,1157,65.032,38.7,14.864,9745.079,496.218,7.11,73.77,0.812,48.429,
Germany,4755887,33785,23517.571,56684.867,402.68,280.303,1.42,2017,237.016,46.6,21.453,45229.245,156.139,8.31,81.33,0.947,113,
Ghana,130391,104,44.857,4109.116,3.277,1.414,0.83,745,126.719,21.1,3.385,4227.63,298.245,4.97,64.07,0.611,1.857,
Greece,774265,6889,5641,74658.556,664.272,543.934,1.31,2824,83.479,45.3,20.396,24574.382,175.695,4.55,82.24,0.888,49.143,
Grenada,5857,0,2.571,51824.979,0,22.753,0.37,1566,317.132,29.4,7.304,13593.877,243.964,10.71,72.4,0.779,0,
Guatemala,604586,945,595.286,33128.24,51.781,32.619,0.82,1753,157.834,22.9,4.694,7423.808,155.898,10.18,74.3,0.663,49.286,
Guinea,30681,0,4,2273.132,0,0.296,0.94,908,51.755,19,3.135,1998.926,336.717,2.42,61.6,0.477,0,
Guinea-Bissau,6150,1,2.429,3051.367,0.496,1.205,0.46,5916,66.191,19.4,3.002,1548.675,382.474,2.42,58.32,0.48,0.286,
Guyana,35993,64,78.429,45541.793,80.979,99.235,0.96,2127,3.952,26.3,5.305,7435.047,373.159,11.62,69.91,0.682,3.286,
Haiti,24073,41,35.714,2085.744,3.552,3.094,1.03,147,398.448,24.3,4.8,1653.173,430.548,6.65,64,0.51,3.286,
Honduras,376281,298,152.571,37392.549,29.613,15.162,0.86,6324,82.805,24.9,4.652,4541.795,240.208,7.21,75.27,0.634,10.429,
Hungary,892164,6804,4106.429,92604.214,706.237,426.236,1.73,2616,108.043,43.4,18.577,26777.561,278.296,7.55,76.88,0.854,65,
Iceland,14255,168,109,41516.193,489.282,317.451,1.43,1806,3.404,37.3,14.431,46482.958,117.992,5.31,82.99,0.949,0.143,
India,34344683,10929,12030.429,24647.955,7.843,8.634,0.89,2674,450.419,28.2,5.989,6426.674,282.28,10.39,69.66,0.645,360.714,
Indonesia,4247320,518,586.429,15368.695,1.874,2.122,0.79,6080,145.725,29.3,5.319,11188.744,342.864,6.32,71.72,0.718,22.571,
Iran,5973457,8633,9150.714,70252.195,101.53,107.619,0.92,12278,49.831,32.4,5.44,19082.62,270.308,9.59,76.68,0.783,150.714,
Iraq,2061222,1156,1100.286,50054.747,28.072,26.719,0.84,1818,88.125,20,3.186,15663.986,218.612,8.83,70.6,0.674,26.571,
Ireland,462273,3903,3086.857,92771.805,783.278,619.49,1.27,1725,69.874,38.7,13.928,67335.293,126.459,3.28,82.3,0.955,8,
Israel,1333263,462,931.571,143500.484,49.726,100.266,0.8,944,402.606,30.6,11.733,33132.32,93.32,6.74,82.97,0.919,3.857,
Italy,4795465,6761,4700.286,79437.898,111.997,77.861,1.29,2396,205.859,47.9,23.021,35220.084,113.151,4.78,83.51,0.892,42.429,
