location,date,new_cases_smoothed_per_million,total_cases_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,stringency_index,
Singapore,1/3/2020,0.445,0.183,0,0.56,0,0,0,30.56,
Singapore,2/3/2020,0.498,0.55,0,0.54,0,0,0,30.56,
Singapore,3/3/2020,0.498,0.55,0,0.53,0,0,0,30.56,
Singapore,4/3/2020,0.445,0.733,0,0.57,0,0,0,30.56,
Singapore,5/3/2020,0.629,0.917,0,0.73,0,0,0,30.56,
Singapore,6/3/2020,0.969,1.284,0,0.85,0,0,0,30.56,
Singapore,7/3/2020,0.943,1.284,0,0.94,0,0,0,30.56,
Singapore,8/3/2020,1.153,1.834,0,1.02,0,0,0,30.56,
Singapore,9/3/2020,1.1,2.384,0,1.04,0,0,0,30.56,
Singapore,10/3/2020,1.31,2.934,0,1.16,0,0,0,30.56,
Singapore,11/3/2020,1.781,3.301,0,1.25,0,0,0,30.56,
Singapore,12/3/2020,1.598,3.301,0,1.29,0,0,0,30.56,
Singapore,13/3/2020,1.834,4.401,0,1.46,0,0,0,36.11,
Singapore,14/3/2020,1.938,5.134,0,1.53,0,0,0,36.11,
Singapore,15/3/2020,1.991,5.134,0,1.63,0,0,0,36.11,
Singapore,16/3/2020,2.436,5.501,0,1.75,0,0,0,36.11,
Singapore,17/3/2020,2.777,6.051,0,1.87,0,0,0,36.11,
Singapore,18/3/2020,3.536,7.335,0,1.96,0,0,0,36.11,
Singapore,19/3/2020,4.375,8.251,0,1.91,0,0,0,36.11,
Singapore,20/3/2020,4.846,8.618,0,1.84,0,0,0,36.11,
Singapore,21/3/2020,5.763,9.168,0,1.8,0,0,0,36.11,
Singapore,22/3/2020,5.999,10.635,0,1.73,0,0,0,36.11,
Singapore,23/3/2020,6.968,12.285,0,1.74,0,0,0,36.11,
Singapore,24/3/2020,7.649,13.202,0,1.69,0,0,0,36.11,
Singapore,25/3/2020,8.33,13.752,0,1.62,0,0,0,36.11,
Singapore,26/3/2020,8.854,14.119,0,1.52,0,0,0,36.11,
Singapore,27/3/2020,9.09,14.853,0,1.44,0,0,0,36.11,
Singapore,28/3/2020,9.692,15.403,0,1.4,0,0,0,36.11,
Singapore,29/3/2020,10.19,15.403,0,1.34,0,0,0,36.11,
Singapore,30/3/2020,9.692,15.586,0,1.3,0,0,0,36.11,
Singapore,31/3/2020,9.64,15.586,0,1.32,0,0,0,36.11,
Singapore,1/4/2020,9.666,16.319,0,1.35,0,0,0,36.11,
Singapore,2/4/2020,9.587,16.319,0,1.37,0,0,0,36.11,
Singapore,3/4/2020,10.006,16.686,0,1.46,0,0,0,45.37,
Singapore,4/4/2020,10.137,17.053,0,1.57,0,0,0,45.37,
Singapore,5/4/2020,12.181,17.053,0,1.69,0,0,0,45.37,
Singapore,6/4/2020,12.993,17.053,0,1.73,0,0,0,45.37,
Singapore,7/4/2020,14.538,18.703,0,1.83,0,0,0,62.04,
Singapore,8/4/2020,16.319,19.437,0,1.95,0,0,0,76.85,
Singapore,9/4/2020,22.554,19.803,0,2.08,0,0,0,76.85,
Singapore,10/4/2020,26.038,20.17,0,2.04,0,0,0,82.41,
Singapore,11/4/2020,29.076,20.17,0,2.03,0,0,0,76.85,
Singapore,12/4/2020,32.037,21.454,0,2.08,0,0,0,76.85,
Singapore,13/4/2020,40.419,23.837,0,2.15,0,0,0,76.85,
Singapore,14/4/2020,46.391,25.304,0,2.15,0.579,0.08,0,76.85,
Singapore,15/4/2020,54.381,27.505,0,2.18,0.614,0.089,0,76.85,
Singapore,16/4/2020,65.933,27.505,0,2.21,0.649,0.102,0,76.85,
Singapore,17/4/2020,77.066,29.338,0,2.17,0.684,0.113,0,76.85,
Singapore,18/4/2020,96.738,32.639,0,2.15,0.719,0.134,0,76.85,
Singapore,19/4/2020,106.247,32.639,0,2.05,0.754,0.141,0,76.85,
Singapore,20/4/2020,133.49,36.673,0,2.01,0.789,0.169,0,76.85,
Singapore,21/4/2020,153.843,38.873,0,1.84,0.79,0.195,0,76.85,
Singapore,22/4/2020,168.748,41.441,0,1.64,0.755,0.224,0,76.85,
Singapore,23/4/2020,176.843,44.558,0,1.47,0.72,0.246,0,76.85,
Singapore,24/4/2020,184.02,48.775,0,1.33,0.685,0.269,0,76.85,
Singapore,25/4/2020,175.533,57.393,0,1.22,0.65,0.27,0,82.41,
Singapore,26/4/2020,184.308,63.261,0,1.17,0.615,0.3,0,76.85,
Singapore,27/4/2020,167.884,70.596,0,1.08,0.58,0.289,0,76.85,
Singapore,28/4/2020,152.612,79.214,0.052,1.01,0.616,0.248,0,76.85,
Singapore,29/4/2020,144.073,83.431,0.052,0.96,0.651,0.221,0,76.85,
Singapore,30/4/2020,130.739,93.333,0.052,0.94,0.687,0.19,0,76.85,
Singapore,1/5/2020,131.656,102.318,0.052,0.96,0.723,0.182,0,82.41,
Singapore,2/5/2020,127.177,115.703,0.052,0.94,0.759,0.168,0,76.85,
Singapore,3/5/2020,119.999,125.238,0.052,0.95,0.794,0.151,0,76.85,
Singapore,4/5/2020,114.079,134.223,0.052,0.97,0.83,0.137,0,76.85,
Singapore,5/5/2020,116.804,147.059,0,0.99,1.02,0.115,0,76.85,
Singapore,6/5/2020,119.371,154.76,0.026,1.01,1.21,0.099,0,76.85,
Singapore,7/5/2020,124.95,161.178,0.026,1.01,1.4,0.089,0,76.85,
Singapore,8/5/2020,120.654,169.796,0.026,1.02,1.589,0.076,0,76.85,
Singapore,9/5/2020,128.67,183.365,0.026,1.04,1.779,0.072,0,76.85,
Singapore,10/5/2020,134.407,192.35,0.052,1.03,1.969,0.068,0,76.85,
Singapore,11/5/2020,132.128,204.269,0.079,1,2.008,0.066,0,76.85,
Singapore,12/5/2020,137.812,218.021,0.105,1,1.858,0.074,0,73.15,
Singapore,13/5/2020,134.852,240.025,0.079,0.96,1.707,0.079,0,73.15,
Singapore,14/5/2020,135.14,252.127,0.079,0.94,1.556,0.087,0,73.15,
Singapore,15/5/2020,135.795,271.564,0.079,0.92,1.405,0.097,0,73.15,
Singapore,16/5/2020,128.251,297.602,0.079,0.88,1.255,0.102,0,73.15,
Singapore,17/5/2020,123.169,350.227,0.052,0.86,1.104,0.112,0,73.15,
Singapore,18/5/2020,118.428,386.534,0.052,0.83,1.104,0.107,0,73.15,
Singapore,19/5/2020,108.002,421.556,0.052,0.83,1.097,0.098,0,73.15,
Singapore,20/5/2020,105.252,464.28,0.052,0.84,1.09,0.097,0,73.15,
Singapore,21/5/2020,97.288,535.059,0.079,0.85,1.083,0.09,0,73.15,
Singapore,22/5/2020,92.599,596.303,0.105,0.88,1.076,0.086,0,73.15,
Singapore,23/5/2020,97.236,678.268,0.105,0.9,1.069,0.091,0,73.15,
Singapore,24/5/2020,93.726,811.757,0.105,0.88,1.062,0.088,0,73.15,
Singapore,25/5/2020,94.747,925.994,0.105,0.86,1.055,0.09,0,73.15,
Singapore,26/5/2020,92.966,1098.724,0.079,0.86,1.181,0.079,0,73.15,
